date, pm25, pm10, o3, no2, so2, co
2023/6/2, 128, 55, , , 7, 
2023/6/3, 132, 47, , , 7, 
2023/6/4, 118, 41, , , 7, 
2023/6/5, 109, 36, , , 4, 
2023/6/6, 93, 54, , , 6, 
2023/6/7, 133, 55, , , 6, 
2023/6/8, 121, 53, , , 5, 
2023/6/9, 128, 40, , , 7, 
2023/6/10, 111, , , , , 
2023/6/14, 151, 64, , , 8, 
2023/6/15, 147, 58, , , 4, 
2023/6/16, 142, 57, , , 3, 
2023/6/17, 138, 68, , , 4, 
2023/6/18, 157, 65, , , 5, 
2023/6/19, 147, 57, , , 6, 
2023/6/20, 139, 64, , , 7, 
2023/6/21, 148, 66, , , 6, 
2023/6/22, 149, 87, , , 6, 
2023/6/23, 176, 65, , , 6, 
2023/6/24, 152, 64, , , 6, 
2023/6/25, 136, 46, , , 5, 
2023/6/26, 104, 47, , , 5, 
2023/6/27, 98, 44, , , 6, 
2023/6/28, 98, 41, , , 6, 
2023/6/29, 103, 55, , , 7, 
2023/6/30, 110, 43, , , 6, 
2023/7/1, 70, 25, , , 8, 
2023/1/3, 61, 32, , , 8, 
2023/1/4, 75, 65, , , 7, 
2023/1/5, 111, 81, , , 8, 
2023/1/6, 137, , , , , 
2023/1/10, 134, 80, , , 9, 
2023/1/11, 140, 84, , , 10, 
2023/1/12, 144, 56, , , 7, 
2023/1/13, 114, 93, , , 7, 
2023/1/14, 146, 82, , , 5, 
2023/1/15, 133, 66, , , 7, 
2023/1/16, 116, 60, , , 8, 
2023/1/17, 114, 91, , , 9, 
2023/1/18, 145, 68, , , 8, 
2023/1/19, 140, 89, , , 10, 
2023/1/20, 153, 78, , , 11, 
2023/1/21, 150, 77, , , 11, 
2023/1/22, 128, , , , , 
2023/1/24, 139, 55, , , 8, 
2023/1/25, 99, 51, , , 8, 
2023/1/26, 114, 81, , , 8, 
2023/1/27, 140, 59, , , 7, 
2023/1/28, 120, 50, , , 8, 
2023/1/29, 101, 17, , , 5, 
2023/1/30, 38, , , , , 
2023/2/1, 129, 58, , , 7, 
2023/2/2, 120, 50, , , 7, 
2023/2/3, 98, 61, , , 8, 
2023/2/4, 128, , , , , 
2023/2/6, 145, 67, , , 6, 
2023/2/7, 134, 60, , , 8, 
2023/2/8, 126, 57, , , 10, 
2023/2/9, 118, 50, , , 7, 
2023/2/10, 114, 66, , , 8, 
2023/2/11, 133, 65, , , 5, 
2023/2/12, 145, 65, , , 6, 
2023/2/13, 127, 55, , , 6, 
2023/2/14, 120, 53, , , 8, 
2023/2/15, 115, 49, , , 7, 
2023/2/16, 117, 52, , , 8, 
2023/2/17, 105, , , , , 
2023/2/20, 105, 55, , , 7, 
2023/2/21, 123, 45, , , 6, 
2023/2/22, 109, 40, , , 7, 
2023/2/23, 99, 66, , , 8, 
2023/2/24, 127, 93, , , 8, 
2023/2/25, 169, 47, , , 6, 
2023/2/26, 104, 53, , , 6, 
2023/2/27, 108, 46, , , 7, 
2023/2/28, 108, 62, , , 7, 
2023/3/1, 131, 49, , , 8, 
